,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
114,CDS,"product (apolipoprotein N-acyltransferase Lnt), EC_number (2.3.1.-), transl_table (11), protein_id (ref|YP_002515425.1||gnl|REF_bmbuc|CCNA_00050), note (CC_0052), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",52707,54299,1592,2,10.42713567839196,10.11306532663317,10.42713567839196,10.42713567839196
128,CDS,"product (tRNA threonylcarbamoyl adenosine modification protein, YeaZ family), transl_table (11), protein_id (ref|YP_002515432.1||gnl|REF_bmbuc|CCNA_00057), note (CC_0059), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",59115,59750,635,1,31.65354330708661,31.65354330708661,31.65354330708661,31.65354330708661
138,CDS,"product (tryptophanyl-tRNA synthetase), EC_number (6.1.1.2), transl_table (11), protein_id (ref|YP_002515437.1||gnl|REF_bmbuc|CCNA_00062), note (CC_0064), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",63327,64361,1034,1,20.01934235976789,20.01934235976789,20.01934235976789,20.01934235976789
150,CDS,"product (Rieske (2Fe-2S) domain protein), transl_table (11), protein_id (ref|YP_002515441.1||gnl|REF_bmbuc|CCNA_00066), note (CC_0068), experiment (EXISTENCE:Ribosome profiling), ",69120,69488,368,1,53.53260869565217,53.53260869565217,53.53260869565217,53.53260869565217
154,CDS,"product (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase), EC_number (1.1.1.94), transl_table (11), protein_id (ref|YP_002515443.1||gnl|REF_bmbuc|CCNA_00068), note (CC_0070), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",69794,70804,1010,4,79.70297029702971,42.77227722772277,79.70297029702971,79.70297029702971
156,CDS,"product (tRNA threonylcarbamoyl adenosine modification protein TsaD), EC_number (3.4.24.57), transl_table (11), protein_id (ref|YP_002515444.1||gnl|REF_bmbuc|CCNA_00069), note (CC_0071), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",70801,71904,1103,5,37.71532184950136,26.72710788757933,37.71532184950136,37.71532184950136
160,CDS,"product (uroporphyrinogen-III synthase), EC_number (4.2.1.75), transl_table (11), protein_id (ref|YP_002515446.1||gnl|REF_bmbuc|CCNA_00071), note (CC_0073), experiment (EXISTENCE:LC-MS), ",72950,73636,686,1,32.36151603498542,32.36151603498542,32.36151603498542,32.36151603498542
162,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515447.2||gnl|REF_bmbuc|CCNA_00072), note (CC_0074), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",73680,74576,896,1,22.87946428571428,22.87946428571428,22.87946428571428,22.87946428571428
164,CDS,"product (HemY domain membrane protein), transl_table (11), protein_id (ref|YP_002515448.1||gnl|REF_bmbuc|CCNA_00073), note (CC_0075), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",74573,76108,1535,2,31.33550488599349,18.59934853420195,31.33550488599349,31.33550488599349
168,CDS,"product (multifunctional fatty acid oxidation complex subunit alpha FadJ), EC_number (4.2.1.17), transl_table (11), protein_id (ref|YP_002515449.1||gnl|REF_bmbuc|CCNA_00074), note (CC_0076), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",76477,78678,2201,1,7.632894139027714,7.632894139027714,7.632894139027715,7.632894139027715
178,CDS,"product (MerR-family transcriptional regulator), transl_table (11), protein_id (ref|YP_002515454.1||gnl|REF_bmbuc|CCNA_00079), note (CC_0081), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",83414,83893,479,1,26.09603340292276,26.09603340292276,26.09603340292276,26.09603340292276
180,CDS,"product (LexA-related transcriptional repressor), transl_table (11), protein_id (ref|YP_002515455.1||gnl|REF_bmbuc|CCNA_00080), note (CC_0082), experiment (EXISTENCE:Ribosome profiling), ",84087,84728,641,1,19.34477379095164,19.34477379095164,19.34477379095164,19.34477379095164
200,CDS,"product (MHYT/PAS-family GGDEF/EAL protein), transl_table (11), protein_id (ref|YP_002515464.1||gnl|REF_bmbuc|CCNA_00089), note (CC_0091), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), db_xref (PDB:4YME), ",99466,101895,2429,1,9.180732811856732,9.180732811856732,9.180732811856732,9.180732811856732
206,CDS,"product (short chain dehydrogenase), EC_number (1.-.-.-), transl_table (11), protein_id (ref|YP_002515467.1||gnl|REF_bmbuc|CCNA_00092), note (CC_0094), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",104039,104929,890,1,15.95505617977528,15.95505617977528,15.95505617977528,15.95505617977528
216,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515472.1||gnl|REF_bmbuc|CCNA_00097), note (CC_0098), ",108334,108792,458,2,51.52838427947598,50.0,51.52838427947598,51.52838427947598
217,mobile_element,"mobile_element_type (insertion sequence:possible IS element), ",108427,108932,505,3,87.32673267326733,35.51155115511551,87.32673267326733,87.32673267326733
221,CDS,"product (FtsZ-binding protein FzlC), transl_table (11), protein_id (ref|YP_002515474.1||gnl|REF_bmbuc|CCNA_00099), note (CC_0100), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",109239,110969,1730,7,100.0,41.99009083402147,100.0,100.0
225,CDS,"product (16S rRNA m5C methyltransferase RsmB), EC_number (2.1.1.-), transl_table (11), protein_id (ref|YP_002515476.1||gnl|REF_bmbuc|CCNA_00101), note (CC_0102), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",111745,113034,1289,2,41.00077579519007,41.00077579519007,100.0,100.0
229,CDS,"product (gamma-glutamyltranspeptidase), EC_number (2.3.2.2), transl_table (11), protein_id (ref|YP_002515478.1||gnl|REF_bmbuc|CCNA_00103), note (CC_0104), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",113463,115160,1697,1,18.09074837949322,18.09074837949322,18.09074837949322,18.09074837949322
231,CDS,"product (orotidine 5'-phosphate decarboxylase), EC_number (4.1.1.23), transl_table (11), protein_id (ref|YP_002515479.1||gnl|REF_bmbuc|CCNA_00104), note (CC_0105), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",115289,115990,701,3,64.33666191155493,39.65763195435093,64.33666191155493,64.33666191155493
233,CDS,"product (MarC family integral membrane protein), transl_table (11), protein_id (ref|YP_002515480.1||gnl|REF_bmbuc|CCNA_00105), note (CC_0106), experiment (EXISTENCE:Ribosome profiling), ",116088,116786,698,1,19.05444126074499,19.05444126074499,19.05444126074499,19.05444126074499
235,CDS,"product (2-polyprenyl-6-methoxyphenol hydroxylase), EC_number (1.13.-.-), transl_table (11), protein_id (ref|YP_002515481.1||gnl|REF_bmbuc|CCNA_00106), note (CC_0107), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",116834,118099,1265,2,10.59288537549407,10.59288537549407,52.25296442687747,52.25296442687747
241,CDS,"product (chaperedoxin CnoX), EC_number (1.8.1.-), transl_table (11), protein_id (ref|YP_002515484.1||gnl|REF_bmbuc|CCNA_00109), note (CC_0110), experiment (CnoX exhibits constitutive chaperone holdase activity and cooperates wirth GroEL and DnaK according to DOI: 10.1128/mBio.01541-18), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",119160,120059,899,1,20.24471635150167,20.24471635150167,20.24471635150167,20.24471635150167
243,CDS,"product (RNA-binding protein ProXp-ala), transl_table (11), protein_id (ref|YP_002515485.1||gnl|REF_bmbuc|CCNA_00110), note (CC_0111), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), db_xref (PDB:1VJF), ",120169,120675,506,1,34.38735177865613,34.38735177865613,34.38735177865613,34.38735177865613
253,CDS,"product (TolB protein), transl_table (11), protein_id (ref|YP_002515490.2||gnl|REF_bmbuc|CCNA_00115), note (CC_0116), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",122939,126268,3329,1,4.896365274857314,4.896365274857314,4.896365274857314,4.896365274857314
265,CDS,"product (N-acetyltransferase family protein), transl_table (11), protein_id (ref|YP_002515495.1||gnl|REF_bmbuc|CCNA_00120), note (CC_0121), experiment (EXISTENCE:LC-MS), ",132435,132953,518,1,77.60617760617761,77.60617760617761,77.60617760617761,77.60617760617761
289,CDS,"product (ketoacyl reductase hetN), EC_number (1.3.1.-), transl_table (11), protein_id (ref|YP_002515507.1||gnl|REF_bmbuc|CCNA_00132), note (CC_0133), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",141633,142433,800,1,23.875,23.875,23.875,23.875
295,CDS,"product (trypsin-like peptidase), EC_number (3.4.21.-), transl_table (11), protein_id (ref|YP_002515510.1||gnl|REF_bmbuc|CCNA_00135), note (CC_0136), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",144443,145276,833,1,23.64945978391356,23.64945978391356,23.64945978391357,23.64945978391357
299,CDS,"product (hybrid two-component histidine kinase/receiver protein ShkA), EC_number (2.7.13.3), transl_table (11), protein_id (ref|YP_002515512.1||gnl|REF_bmbuc|CCNA_00137), note (CC_0138), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), db_xref (PDB:6QRJ), ",146986,148530,1544,2,84.90932642487047,58.29015544041451,84.90932642487047,84.90932642487047
301,CDS,"product (TonB-dependent receptor), transl_table (11), protein_id (ref|YP_002515513.1||gnl|REF_bmbuc|CCNA_00138), note (CC_0139), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",148752,150944,2192,1,8.074817518248176,8.074817518248176,8.074817518248175,8.074817518248175
307,CDS,"product (SirB1-family tetratricopeptide repeat protein), transl_table (11), protein_id (ref|YP_002515516.1||gnl|REF_bmbuc|CCNA_00141), note (CC_0142), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",153718,154533,815,3,94.3558282208589,72.76073619631903,94.3558282208589,94.3558282208589
343,CDS,"product (DNA replication and repair protein recF), transl_table (11), protein_id (ref|YP_002515533.1||gnl|REF_bmbuc|CCNA_00158), note (CC_0159), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",165621,166784,1163,2,32.93207222699914,25.06448839208942,32.93207222699914,32.93207222699914
355,CDS,"product (O-antigen polymerase), transl_table (11), protein_id (ref|YP_002515539.1||gnl|REF_bmbuc|CCNA_00164), note (CC_0165), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",175173,177098,1925,1,7.168831168831169,7.168831168831169,7.168831168831169,7.168831168831169
372,CDS,"product (type II secretion pathway protein C), transl_table (11), protein_id (ref|YP_002515546.1||gnl|REF_bmbuc|CCNA_00171), note (CC_0172), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",185853,186290,437,2,31.35011441647597,28.71853546910755,31.35011441647597,31.35011441647597
374,CDS,"product (type II secretion pathway protein D), transl_table (11), protein_id (ref|YP_002515547.1||gnl|REF_bmbuc|CCNA_00172), note (CC_0173), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",186287,188350,2063,1,23.94571013087736,23.94571013087736,23.94571013087736,23.94571013087736
378,CDS,"product (type II secretion pathway protein F), transl_table (11), protein_id (ref|YP_002515549.1||gnl|REF_bmbuc|CCNA_00174), note (CC_0175), experiment (EXISTENCE:LC-MS), ",189809,191020,1211,1,9.744013212221304,9.744013212221304,9.744013212221304,9.744013212221304
394,CDS,"product (type II secretion pathway protein N), transl_table (11), protein_id (ref|YP_002515557.1||gnl|REF_bmbuc|CCNA_00182), note (CC_0183), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",195424,196140,716,2,59.0782122905028,50.90782122905028,59.07821229050279,59.07821229050279
416,CDS,"product (long-chain-fatty-acid--CoA ligase), EC_number (6.2.1.3), transl_table (11), protein_id (ref|YP_002515567.1||gnl|REF_bmbuc|CCNA_00192), note (CC_0192), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",205174,206793,1619,2,8.091414453366276,7.936998147004324,8.091414453366275,8.091414453366275
437,CDS,"product (outer membrane protein), transl_table (11), protein_id (ref|YP_002515576.1||gnl|REF_bmbuc|CCNA_00201), note (CC_0201), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",215418,216098,680,1,43.52941176470588,43.52941176470588,43.52941176470588,43.52941176470588
459,CDS,"product (Agmatine/peptidylarginine deiminase), EC_number (3.5.3.12), transl_table (11), protein_id (ref|YP_002515586.2||gnl|REF_bmbuc|CCNA_00211), note (CC_0211), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",227686,228693,1007,1,18.5700099304866,18.5700099304866,18.5700099304866,18.5700099304866
467,ncRNA,"ncRNA_class (other), product (small non-coding RNA), experiment (EXISTENCE:RNA-seq), ",232420,232497,77,1,92.20779220779221,92.20779220779221,92.20779220779221,92.20779220779221
469,CDS,"product (SapC surface layer protein), transl_table (11), protein_id (ref|YP_002515590.1||gnl|REF_bmbuc|CCNA_00215), note (CC_0215), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",232614,233402,788,1,24.23857868020304,24.23857868020304,24.23857868020304,24.23857868020304
477,CDS,"product (thiol-disulfide isomerase and thioredoxin), transl_table (11), protein_id (ref|YP_002515595.1||gnl|REF_bmbuc|CCNA_00220), note (CC_0220), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",237030,237635,605,1,13.88429752066116,13.88429752066116,13.88429752066116,13.88429752066116
481,CDS,"product (glucose-6-phosphate isomerase/glucose-6 phosphate 1-epimerase), EC_number (5.3.1.9), transl_table (11), protein_id (ref|YP_002515597.1||gnl|REF_bmbuc|CCNA_00222), note (CC_0222), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",238241,239860,1619,1,10.80914144533663,10.80914144533663,10.80914144533663,10.80914144533663
499,CDS,"product (tRNA-specific adenosine deaminase), EC_number (3.5.4.-), transl_table (11), protein_id (ref|YP_002515606.2||gnl|REF_bmbuc|CCNA_00231), note (CC_0231), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",247055,247540,485,1,29.48453608247423,29.48453608247423,29.48453608247423,29.48453608247423
511,CDS,"product (two-component response regulator chvI), transl_table (11), protein_id (ref|YP_002515612.1||gnl|REF_bmbuc|CCNA_00237), note (CC_0237), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",252525,253232,707,1,21.64073550212164,21.64073550212164,21.64073550212164,21.64073550212164
523,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515618.2||gnl|REF_bmbuc|CCNA_00243), note (CC_0243), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",256412,256810,398,1,56.03015075376885,56.03015075376885,56.03015075376884,56.03015075376884
533,CDS,"product (sensor histidine protein kinase SpdS), EC_number (2.7.13.3), transl_table (11), protein_id (ref|YP_002515623.1||gnl|REF_bmbuc|CCNA_00248), note (CC_0248), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",259514,260914,1400,1,11.78571428571428,11.78571428571428,11.78571428571429,11.78571428571429
573,CDS,"product (DNA polymerase III subunit gamma/tau), EC_number (2.7.7.7), transl_table (11), protein_id (ref|YP_002515643.2||gnl|REF_bmbuc|CCNA_00268), note (CC_0267), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",282130,283956,1826,3,43.15443592552026,13.23475721066082,78.42278203723987,78.42278203723987
577,CDS,"product (Recombination protein recR), transl_table (11), protein_id (ref|YP_002515645.1||gnl|REF_bmbuc|CCNA_00270), note (CC_0269), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",284558,285160,602,1,65.28239202657808,65.28239202657808,65.28239202657808,65.28239202657808
590,CDS,"product (cupin family protein), transl_table (11), protein_id (ref|YP_002515651.1||gnl|REF_bmbuc|CCNA_00276), note (CC_0274), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",289617,290096,479,1,14.82254697286013,14.82254697286013,14.82254697286013,14.82254697286013
594,CDS,"product (glutaminase), EC_number (3.5.1.2), transl_table (11), protein_id (ref|YP_002515653.1||gnl|REF_bmbuc|CCNA_00278), note (CC_0276), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",291339,292259,920,2,13.3695652173913,13.3695652173913,13.3695652173913,13.3695652173913
598,CDS,"product (tRNA pseudouridine synthase A), EC_number (5.4.99.12), transl_table (11), protein_id (ref|YP_002515655.1||gnl|REF_bmbuc|CCNA_00280), note (CC_0278), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",292898,293641,743,1,23.28398384925976,23.28398384925976,23.28398384925976,23.28398384925976
600,CDS,"product (methionyl-tRNA formyltransferase), EC_number (2.1.2.9), transl_table (11), protein_id (ref|YP_002515656.1||gnl|REF_bmbuc|CCNA_00281), note (CC_0279), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",293641,294567,926,2,10.20518358531317,10.20518358531317,100.0,100.0
620,CDS,"product (phosphate regulon sensor protein phoR), EC_number (2.7.13.3), transl_table (11), protein_id (ref|YP_002515666.1||gnl|REF_bmbuc|CCNA_00291), note (CC_0289), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",304469,305884,1415,1,12.29681978798587,12.29681978798587,12.29681978798587,12.29681978798587
624,CDS,"product (phosphate transport system permease protein pstA), transl_table (11), protein_id (ref|YP_002515668.1||gnl|REF_bmbuc|CCNA_00293), note (CC_0291), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",307455,308750,1295,2,13.2046332046332,10.84942084942085,13.2046332046332,13.2046332046332
626,CDS,"product (phosphate transport ATP-binding protein pstB), transl_table (11), protein_id (ref|YP_002515669.2||gnl|REF_bmbuc|CCNA_00294), note (CC_0292), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",308810,309634,824,2,39.19902912621359,28.58009708737864,39.1990291262136,39.1990291262136
634,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515673.1||gnl|REF_bmbuc|CCNA_00298), note (CC_0296), ",311893,312666,773,1,16.81759379042691,16.81759379042691,16.81759379042691,16.81759379042691
638,CDS,"product (glyoxalase superfamily protein), transl_table (11), protein_id (ref|YP_002515675.2||gnl|REF_bmbuc|CCNA_00300), note (CC_0298), experiment (EXISTENCE:Ribosome profiling), ",313978,314385,407,1,55.77395577395578,55.77395577395578,55.77395577395578,55.77395577395578
646,CDS,"product (3-deoxy-D-manno-octulosonic-acid transferase), EC_number (2.-.-.-), transl_table (11), protein_id (ref|YP_002515679.3||gnl|REF_bmbuc|CCNA_00304), note (CC_0302), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",318031,319308,1277,1,46.98512137823023,46.98512137823023,46.98512137823023,46.98512137823023
648,CDS,"product (cobalt-zinc-cadmium resistance protein czcD), transl_table (11), protein_id (ref|YP_002515680.1||gnl|REF_bmbuc|CCNA_00305), note (CC_0303), experiment (EXISTENCE:Ribosome profiling), ",319278,320303,1025,1,22.73170731707317,22.73170731707317,22.73170731707317,22.73170731707317
658,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515684.1||gnl|REF_bmbuc|CCNA_00309), note (CC_0307), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), db_xref (PDB:2MHE), ",323812,324045,233,2,67.38197424892704,67.38197424892704,67.38197424892704,67.38197424892704
662,CDS,"product (Zn-dependent protease family protein), transl_table (11), protein_id (ref|YP_002515686.1||gnl|REF_bmbuc|CCNA_00311), note (CC_0309), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",324842,326173,1331,1,13.07287753568745,13.07287753568745,13.07287753568745,13.07287753568745
666,CDS,"product (peptidase, M14 family), transl_table (11), protein_id (ref|YP_002515688.1||gnl|REF_bmbuc|CCNA_00313), note (CC_0311), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",326715,328544,1829,1,4.48332422088573,4.48332422088573,4.48332422088573,4.48332422088573
672,CDS,"product (glutamate 5-kinase), EC_number (2.7.2.11), transl_table (11), protein_id (ref|YP_002515691.1||gnl|REF_bmbuc|CCNA_00316), note (CC_0314), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",330777,331910,1133,2,39.89408649602824,26.96381288614298,39.89408649602824,39.89408649602824
674,CDS,"product (GTP-binding protein CgtA), transl_table (11), protein_id (ref|YP_002515692.1||gnl|REF_bmbuc|CCNA_00317), note (CC_0315), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",331907,332971,1064,1,28.47744360902256,28.47744360902256,28.47744360902256,28.47744360902256
690,CDS,"product (vegetatible incompatibility protein HET-E-1), transl_table (11), protein_id (ref|YP_002515701.1||gnl|REF_bmbuc|CCNA_00326), note (CC_0323), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",338634,339665,1031,1,25.70320077594569,25.70320077594569,25.70320077594569,25.70320077594569
704,CDS,"product (molybdenum transport system permease protein modB), EC_number (7.3.2.5), transl_table (11), protein_id (ref|YP_002515707.1||gnl|REF_bmbuc|CCNA_00332), note (CC_0329), experiment (EXISTENCE:Ribosome profiling), ",343435,344109,674,1,22.8486646884273,22.8486646884273,22.8486646884273,22.8486646884273
712,CDS,"product (lignostilbene-alpha,beta-dioxygenase), EC_number (1.13.11.-), transl_table (11), protein_id (ref|YP_002515711.1||gnl|REF_bmbuc|CCNA_00336), note (CC_0333), experiment (EXISTENCE:LC-MS), ",346066,347517,1451,1,11.64713990351482,11.64713990351482,11.64713990351482,11.64713990351482
718,CDS,"product (TonB-dependent receptor), transl_table (11), protein_id (ref|YP_002515713.2||gnl|REF_bmbuc|CCNA_00338), note (CC_0335), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",348479,350719,2240,2,7.477678571428571,7.477678571428571,82.67857142857143,82.67857142857143
720,CDS,"product (transporter, major facilitator superfamily), transl_table (11), protein_id (ref|YP_002515714.1||gnl|REF_bmbuc|CCNA_00339), note (CC_0336), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",350788,352104,1316,1,16.56534954407295,16.56534954407295,16.56534954407295,16.56534954407295
728,CDS,"product (dihydrolipoamide succinyltransferase), EC_number (2.3.1.61), transl_table (11), protein_id (ref|YP_002515718.1||gnl|REF_bmbuc|CCNA_00343), note (CC_0340), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",357720,358928,1208,5,39.40397350993378,27.03642384105961,39.40397350993378,39.40397350993378
740,CDS,"product (methyl-accepting chemotaxis protein), transl_table (11), protein_id (ref|YP_002515723.1||gnl|REF_bmbuc|CCNA_00348), note (CC_0343), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",362218,364221,2003,1,23.56465302046929,23.56465302046929,23.5646530204693,23.5646530204693
