,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
84,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214554.2|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927); secreted antigen), experiment (EXISTENCE:Mass spectrometry[PMID:17443846]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",42433,43365,932,2,38.41201716738198,38.41201716738198,98.92703862660944,98.92703862660944
104,CDS,"product (bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase), prot_desc (penicillin-binding protein 1A/1B), transl_table (11), protein_id (ref|YP_177687.1|), note (penicillin-binding protein (class A), bienzymatic protein with transglycosylase and transpeptidase activities), experiment (DESCRIPTION:Gene expression, protein purification and characterization[PMID:11802794]), experiment (DESCRIPTION:Protein expression and characterization[PMID:20686708]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",53663,55699,2036,2,11.14931237721022,10.21611001964637,11.14931237721022,11.14931237721022
130,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_214577.1|), experiment (EXISTENCE:Mass spectrometry[PMID:17443846]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00862), ",66923,68362,1439,1,11.46629603891591,11.46629603891591,11.46629603891591,11.46629603891591
134,CDS,"product (transmembrane protein), transl_table (11), protein_id (ref|NP_214578.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",68620,71559,2939,3,14.2395372575706,6.873086083701939,22.72881932630146,22.72881932630146
136,CDS,"product (antitoxin VapB1), transl_table (11), protein_id (ref|YP_007408701.1|), note (part of toxin-antitoxin (TA) operon with Rv0065), ",71589,71828,239,1,52.30125523012552,52.30125523012552,52.30125523012552,52.30125523012552
148,CDS,"product (serine hydroxymethyltransferase), transl_table (11), protein_id (ref|NP_214584.1|), note (Belongs to the ShmT family. Cofactor: pyridoxal phosphate.), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (DESCRIPTION:Protein purification and characterization[PMID:12913008]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00096), ",77619,78896,1277,1,16.44479248238058,16.44479248238058,16.44479248238058,16.44479248238058
166,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_214592.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",86528,87133,605,2,55.53719008264463,50.90909090909091,55.53719008264463,55.53719008264463
180,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_214597.1|), ",90400,92322,1922,3,41.46722164412071,29.2230315643427,41.46722164412071,41.46722164412071
184,CDS,"product (hydrogenase HycP), transl_table (11), protein_id (ref|NP_214599.1|), note (belongs to NADH-ubiquinone/plastoquinone oxidoreductase chain 4L superfamily), ",93289,93951,662,1,47.12990936555892,47.12990936555892,47.12990936555891,47.12990936555891
186,CDS,"product (hydrogenase HycQ), transl_table (11), protein_id (ref|NP_214600.1|), note (belongs to the NADH-Ubiquinone/plastoquinone (complex I) superfamily), ",93951,95417,1466,1,8.731241473396999,8.731241473396999,8.731241473396999,8.731241473396999
198,CDS,"product (cation transporter ATPase A), transl_table (11), protein_id (ref|NP_214606.1|), note (Belongs to the cation transport ATPases family (E1-E2 ATPases), subfamily IB.), inference (protein motif:PROSITE:PS00154), inference (protein motif:PROSITE:PS01047), ",100583,102868,2285,2,6.958424507658643,6.958424507658643,35.97374179431072,35.97374179431072
202,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214608.1|), ",103710,104663,953,2,100.0,84.05036726128017,100.0,100.0
203,repeat_region,"note (REP-2, len: 1503 nt. REP251, member of REP13E12 family.), ",103713,105215,1502,5,63.11584553928095,38.56191744340879,83.22237017310253,83.22237017310253
205,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214609.1|), ",104805,105215,410,1,38.53658536585366,38.53658536585366,38.53658536585366,38.53658536585366
207,CDS,"product (PPE family protein PPE1), transl_table (11), protein_id (ref|YP_177690.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",105324,106715,1391,2,17.54133716750539,16.53486700215672,17.54133716750539,17.54133716750539
217,CDS,"product (peptide synthetase Nrp), transl_table (11), protein_id (ref|NP_214615.1|), note (Belongs to the ATP-dependent AMP-binding enzyme family.), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), inference (protein motif:PROSITE:PS00012), inference (protein motif:PROSITE:PS00017), inference (protein motif:PROSITE:PS00455), ",110001,117539,7538,2,8.171928893605731,5.691164765189705,8.171928893605731,8.171928893605731
219,CDS,"product (integral membrane protein), transl_table (11), protein_id (ref|NP_214616.1|), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00343), ",117714,119699,1985,1,14.5088161209068,14.5088161209068,14.5088161209068,14.5088161209068
229,CDS,"product (cation-transporter ATPase I), transl_table (11), protein_id (ref|NP_214621.1|), note (Belongs to the cation transport ATPases family (E1-E2 ATPases).), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00154), ",125643,130541,4898,1,6.635361371988567,6.635361371988567,6.635361371988567,6.635361371988567
233,CDS,"product (PE-PGRS family protein PE_PGRS1), transl_table (11), protein_id (ref|YP_177692.1|), note (Member of the M. tuberculosis PE family, PGRS subfamily of gly-rich proteins), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",131382,132872,1490,3,72.81879194630872,63.53467561521253,72.81879194630872,72.81879194630872
245,CDS,"product (D-alpha-D-heptose-7-phosphate kinase HddA), transl_table (11), protein_id (ref|NP_214629.1|), inference (protein motif:PROSITE:PS00435), ",138513,139673,1160,1,8.879310344827585,8.879310344827585,8.879310344827585,8.879310344827585
257,CDS,"product (elongation factor G), transl_table (11), protein_id (ref|NP_214634.1|), note (Belongs to the GTP-binding elongation factor family, EF-G/EF-2 subfamily.), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00017), ",145627,147771,2144,1,7.649253731343284,7.649253731343284,7.649253731343284,7.649253731343284
265,CDS,"product (PE-PGRS family protein PE_PGRS2), transl_table (11), protein_id (ref|YP_177693.1|), note (Member of the Mycobacterium tuberculosis PE family, PGRS subfamily of gly-rich proteins), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",149533,150996,1463,9,100.0,57.25677830940989,100.0,100.0
286,CDS,"product (GCN5-like N-acetyltransferase), transl_table (11), protein_id (ref|NP_214647.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",160869,161474,605,1,26.11570247933884,26.11570247933884,26.11570247933884,26.11570247933884
306,CDS,"product (transmembrane protein), transl_table (11), protein_id (ref|NP_214657.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",168704,170182,1478,1,18.60622462787551,18.60622462787551,18.60622462787551,18.60622462787551
322,CDS,"product (PE family protein PE1), transl_table (11), protein_id (ref|YP_177695.1|), note (Member of the Mycobacterium tuberculosis PE family), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",177543,179309,1766,1,10.1925254813137,10.1925254813137,10.1925254813137,10.1925254813137
324,CDS,"product (PE family protein PE2), transl_table (11), protein_id (ref|YP_177696.1|), note (Member of the Mycobacterium tuberculosis PE family), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",179319,180896,1577,1,18.07228915662651,18.07228915662651,18.07228915662651,18.07228915662651
340,CDS,"product (PE family protein PE3), transl_table (11), protein_id (ref|YP_177697.1|), ",187433,188839,1406,1,19.91465149359886,19.91465149359886,19.91465149359886,19.91465149359886
364,CDS,"product (Mce family protein Mce1C), transl_table (11), protein_id (ref|NP_214685.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",200932,202479,1547,1,40.78862314156432,40.78862314156432,40.78862314156432,40.78862314156432
400,CDS,"product (O-methyltransferase), transl_table (11), protein_id (ref|NP_214701.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",218705,219367,662,1,24.62235649546828,24.62235649546828,24.62235649546828,24.62235649546828
410,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214706.1|), experiment (EXISTENCE:Mass spectrometry[PMID:17443846]), ",223564,224664,1100,1,19.18181818181818,19.18181818181818,19.18181818181818,19.18181818181818
414,CDS,"product (multidrug ABC transporter ATPase/permease), transl_table (11), protein_id (ref|NP_214708.1|), note (Belongs to the ATP-binding transport protein family (ABC transporters).), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), inference (protein motif:PROSITE:PS00017), inference (protein motif:PROSITE:PS00211), ",226878,230462,3584,1,4.659598214285714,4.659598214285714,4.659598214285714,4.659598214285714
420,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_214711.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",232231,234519,2288,1,5.725524475524475,5.725524475524475,5.725524475524476,5.725524475524476
430,CDS,"product (transmembrane transport protein MmpL11), transl_table (11), protein_id (ref|NP_214716.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",238392,241292,2900,2,6.103448275862069,6.103448275862069,6.103448275862069,6.103448275862069
436,CDS,"product (transmembrane protein), transl_table (11), protein_id (ref|NP_214719.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",243384,244487,1103,2,11.51405258386219,11.51405258386219,11.51405258386219,11.51405258386219
438,CDS,"product (transmembrane transport protein MmpL3), transl_table (11), protein_id (ref|NP_214720.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",244484,247318,2834,3,18.80733944954128,16.52552340625735,18.80733944954128,18.80733944954128
446,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214724.1|), ",250120,251598,1478,2,29.16102841677943,29.16102841677943,95.80514208389715,95.80514208389715
461,CDS,"product (transmembrane protein), transl_table (11), protein_id (ref|NP_214732.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",260924,262252,1328,3,40.81325301204819,19.15160642570281,70.48192771084338,70.48192771084338
473,CDS,"product (methyltransferase), transl_table (11), protein_id (ref|NP_214738.1|), ",267863,268627,764,1,22.5130890052356,22.5130890052356,22.5130890052356,22.5130890052356
477,CDS,"product (transmembrane protein), transl_table (11), protein_id (ref|NP_214740.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",269834,271564,1730,2,48.67052023121387,14.2485549132948,48.67052023121387,48.67052023121387
479,CDS,"product (membrane protein), transl_table (11), protein_id (ref|NP_214741.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",271574,272839,1265,2,14.9802371541502,14.9802371541502,73.12252964426878,73.12252964426878
482,CDS,"product (acyltransferase), transl_table (11), protein_id (ref|NP_214742.1|), ",273055,274278,1223,1,13.32788225674571,13.32788225674571,13.32788225674571,13.32788225674571
498,CDS,"product (alpha-(1->3)-arabinofuranosyltransferase), transl_table (11), protein_id (ref|NP_214750.1|), note (arabinofuranosyltransferase AftD. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",282649,286851,4202,3,6.100269712835157,6.100269712835157,63.3745835316516,63.3745835316516
540,CDS,"product (cobyric acid synthase), transl_table (11), protein_id (ref|YP_177703.1|), note (Belongs to the COBB/COBQ family, COBQ subfamily.), ",306374,307858,1484,1,12.93800539083558,12.93800539083558,12.93800539083558,12.93800539083558
542,CDS,"product (PPE family protein PPE2), transl_table (11), protein_id (ref|YP_177704.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",307877,309547,1670,5,17.84431137724551,16.79041916167665,54.73053892215569,54.73053892215569
548,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214773.1|), ",310774,311517,743,1,17.49663526244953,17.49663526244953,17.49663526244953,17.49663526244953
554,CDS,"product (aminoglycoside 2'-N-acetyltransferase), transl_table (11), protein_id (ref|NP_214776.1|), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (DESCRIPTION:Gene expression[PMID:9159528]), experiment (EXISTENCE:Mass spectrometry[PMID:14532352]), ",314309,314854,545,1,45.87155963302752,45.87155963302752,45.87155963302752,45.87155963302752
562,CDS,"product (5-oxoprolinase OplA), transl_table (11), protein_id (ref|NP_214780.1|), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",317525,321154,3629,3,50.90934141636814,6.824653256177093,97.32708735188757,97.32708735188757
564,CDS,"product (nitrite extrusion protein NarU), transl_table (11), protein_id (ref|NP_214781.1|), note (Belongs to the nark/NASA family of transporters.), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",321331,322722,1391,1,11.1430625449317,11.1430625449317,11.1430625449317,11.1430625449317
568,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214783.1|), ",323338,324531,1193,2,45.43168482816429,31.60100586756077,45.43168482816429,45.43168482816429
574,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214786.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",328575,329708,1133,2,18.88790820829656,17.6963812886143,18.88790820829656,18.88790820829656
588,CDS,"product (PE-PGRS family protein PE_PGRS3), transl_table (11), protein_id (ref|YP_177707.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), inference (protein motif:PROSITE:PS00583), ",333437,336310,2873,15,79.06369648451096,33.67211973546815,86.98224852071006,86.98224852071006
590,CDS,"product (PE-PGRS family protein PE_PGRS4), transl_table (11), protein_id (ref|YP_177708.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",336560,339073,2513,11,82.31197771587745,31.1290380928264,85.11738957421409,85.11738957421409
592,CDS,"product (PPE family protein PPE3), transl_table (11), protein_id (ref|YP_177709.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",339364,340974,1610,3,23.88198757763976,24.26501035196687,83.7888198757764,83.7888198757764
594,CDS,"product (S-adenosylmethionine-dependent methyltransferase), transl_table (11), protein_id (ref|NP_214795.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",340998,341906,908,1,10.24229074889868,10.24229074889868,10.24229074889868,10.24229074889868
604,CDS,"product (PPE family protein PPE4), transl_table (11), protein_id (ref|YP_177711.1|), ",349935,351476,1541,5,45.29526281635302,26.77482154445166,45.29526281635302,45.29526281635302
610,CDS,"product (ESX-3 secretion-associated protein EspG3), transl_table (11), protein_id (ref|NP_214803.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), ",352149,353036,887,1,13.97970687711387,13.97970687711387,13.97970687711387,13.97970687711387
614,CDS,"product (membrane-anchored mycosin MycP), transl_table (11), protein_id (ref|NP_214805.1|), experiment (DESCRIPTION:Gene expression[PMID:10974545]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00137), ",354498,355883,1385,1,31.1913357400722,31.1913357400722,31.1913357400722,31.1913357400722
620,CDS,"product (trans-aconitate methyltransferase), transl_table (11), protein_id (ref|NP_214808.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",358171,358956,785,1,18.98089171974522,18.98089171974522,18.98089171974522,18.98089171974522
624,CDS,"product (sulfatase), transl_table (11), protein_id (ref|YP_177712.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00523), ",359758,361155,1397,1,9.87831066571224,9.87831066571224,9.87831066571224,9.87831066571224
626,CDS,"product (PE-PGRS family protein PE_PGRS5), transl_table (11), protein_id (ref|YP_177713.1|), note (This region is a possible MT-complex-specific genomic island (See Becq et al., 2007 PMID:17545187).), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",361334,363109,1775,10,79.54929577464789,43.85352112676056,79.54929577464789,79.54929577464789
642,CDS,"product (PPE family protein PPE6), transl_table (11), protein_id (ref|YP_177715.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",372820,375711,2891,1,19.64718090626081,19.64718090626081,19.64718090626081,19.64718090626081
644,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_214820.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",375914,376585,671,1,16.5424739195231,16.5424739195231,16.5424739195231,16.5424739195231
656,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214826.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",380556,382418,1862,2,33.19011815252416,28.70569280343717,33.19011815252417,33.19011815252417
658,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214827.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",382490,382876,386,1,58.80829015544041,58.80829015544041,58.80829015544042,58.80829015544042
670,CDS,"product (integral membrane protein), transl_table (11), protein_id (ref|YP_177716.1|), ",386305,387099,794,1,22.41813602015113,22.41813602015113,22.41813602015113,22.41813602015113
680,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214837.1|), note (This region is a possible MT-complex-specific genomic island (See Becq et al., 2007 PMID:17545187).), ",390580,391251,671,1,19.37406855439642,19.37406855439642,19.37406855439642,19.37406855439642
696,CDS,"product (dehydrogenase/reductase), transl_table (11), protein_id (ref|NP_214845.1|), note (This region is a possible MT-complex-specific genomic island (See Becq et al., 2007 PMID:17545187).), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",396201,397367,1166,1,15.09433962264151,15.09433962264151,15.09433962264151,15.09433962264151
698,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214846.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",397442,398227,785,1,35.6687898089172,35.6687898089172,35.6687898089172,35.6687898089172
706,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214850.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), ",400192,401703,1511,4,46.49238914626076,31.70086035737922,99.20582395764394,99.20582395764394
710,CDS,"product (iron-sulfur-binding reductase), transl_table (11), protein_id (ref|NP_214852.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00070), inference (protein motif:PROSITE:PS00198), ",403193,405841,2648,1,10.76283987915408,10.76283987915408,10.76283987915408,10.76283987915408
714,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214854.1|), experiment (EXISTENCE:Mass spectrometry[PMID:17443846]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",408634,409173,539,2,41.55844155844156,41.55844155844156,41.55844155844156,41.55844155844156
716,CDS,"product (isoniazid inducible protein IniB), transl_table (11), protein_id (ref|NP_214855.1|), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",409362,410801,1439,4,77.76233495482975,53.07505211952746,77.76233495482974,77.76233495482974
736,CDS,"product (stress response protein GrpE), transl_table (11), protein_id (ref|NP_214865.1|), note (HSP-70 cofactor), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS01071), ",421709,422416,707,1,23.1966053748232,23.1966053748232,23.1966053748232,23.1966053748232
744,CDS,"product (PPE family protein PPE8), transl_table (11), protein_id (ref|YP_177721.2|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",424777,434679,9902,1,1.535043425570592,1.535043425570592,1.535043425570592,1.535043425570592
770,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214882.1|), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), inference (protein motif:PROSITE:PS00213), ",445314,446525,1211,1,12.22130470685384,12.22130470685384,12.22130470685384,12.22130470685384
778,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214886.1|), ",448630,449385,755,1,41.19205298013245,41.19205298013245,41.19205298013245,41.19205298013245
790,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214892.1|), ",455637,455858,221,1,97.73755656108597,97.73755656108597,97.73755656108597,97.73755656108597
807,gene,"locus_tag (Rv0387c), pseudo, pseudogene (unknown), db_xref (GeneID:886436), ",466672,468001,1329,1,26.41083521444695,26.41083521444695,26.41083521444695,26.41083521444695
