,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
7470,gene,"gene (eutH), locus_tag (STM2460), db_xref (GeneID:1253982), ",2570023,2571264,1241,1,19.98388396454472,19.98388396454472,19.98388396454472,19.98388396454472
7471,CDS,"product (ethanolamine utilization protein EutH), transl_table (11), protein_id (ref|NP_461395.1|), note (ethanolamine utilization; ethanolamine utilization protein EUTH . (SW:EUTH_SALTY)), ",2570023,2571249,1226,1,19.08646003262643,19.08646003262643,19.08646003262643,19.08646003262643
7882,gene,"locus_tag (STM2594), db_xref (GeneID:1254117), ",2743187,2746289,3102,3,13.70083816892327,5.641521598968407,22.08252740167634,22.08252740167634
7883,CDS,"product (Gifsy-1 prophage protein), transl_table (11), protein_id (ref|NP_461530.1|), note (similar to phage tail component H; lambda phage H tail component homolog (gi|2232364)), ",2743187,2746282,3095,3,13.73182552504039,5.654281098546041,22.13247172859451,22.13247172859451
8158,gene,"locus_tag (STM2689), pseudo, note (pseudogene; frameshift; proline/threonine-rich protein), db_xref (GeneID:1254212), ",2827583,2839057,11474,2,1.324734181628028,1.324734181628028,1.324734181628029,1.324734181628029
8178,gene,"locus_tag (STM2697), db_xref (GeneID:1254220), ",2846297,2849109,2812,1,4.623044096728307,4.623044096728307,4.623044096728307,4.623044096728307
8179,CDS,"product (Fels-2 prophage protein), transl_table (11), protein_id (ref|NP_461625.1|), note (similar to orfG protein in phage 186; unknown (gi|2852351)), ",2846297,2849104,2807,1,4.631278945493409,4.631278945493409,4.631278945493409,4.631278945493409
8356,gene,"locus_tag (STM2759), db_xref (GeneID:1254282), ",2897642,2899326,1684,1,9.144893111638956,9.144893111638956,9.144893111638956,9.144893111638956
8358,CDS,"product (peptide ABC transporter substrate-binding protein), transl_table (11), protein_id (ref|NP_461686.1|), note (similar to E. coli putative transport protein (AAC73180.1); Blastp hit to AAC73180.1 (551 aa), 27% identity in aa 19 - 545), ",2897647,2899326,1679,1,9.172126265634306,9.172126265634306,9.172126265634306,9.172126265634306
9060,gene,"gene (ygdB), locus_tag (STM2998), db_xref (GeneID:1254521), ",3156410,3156831,421,1,35.15439429928741,35.15439429928741,35.15439429928741,35.15439429928741
9061,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_461915.1|), note (similar to E. coli orf, hypothetical protein (AAC75863.1); Blastp hit to AAC75863.1 (121 aa), 52% identity in aa 1 - 121), ",3156410,3156817,407,1,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637
9093,gene,"gene (ygeD), locus_tag (STM3009), db_xref (GeneID:1254532), ",3166683,3167898,1215,1,18.35390946502057,18.35390946502057,18.35390946502057,18.35390946502057
9094,CDS,"product (lysophospholipid transporter LplT), transl_table (11), protein_id (ref|NP_461926.1|), note (resistance protein; similar to E. coli putative resistance proteins (AAC75874.1); Blastp hit to AAC75874.1 (397 aa), 88% identity in aa 1 - 396), ",3166683,3167885,1202,1,18.55241264559068,18.55241264559068,18.55241264559068,18.55241264559068
9827,gene,"gene (rnpB), locus_tag (STM3246), db_xref (GeneID:1254769), ",3414806,3415186,380,1,44.73684210526316,44.73684210526316,44.73684210526316,44.73684210526316
9829,ncRNA,"ncRNA_class (other), product (regulatory RNA), ",3414810,3415186,376,1,45.21276595744681,45.21276595744681,45.21276595744681,45.21276595744681
9830,gene,"gene (garK), locus_tag (STM3247), db_xref (GeneID:1254770), ",3415217,3416374,1157,1,14.34745030250648,14.34745030250648,14.34745030250648,14.34745030250648
9831,CDS,"product (glycerate 2-kinase), transl_table (11), protein_id (ref|NP_462160.1|), note (similar to E. coli orf, hypothetical protein (AAC76158.1); Blastp hit to AAC76158.1 (408 aa), 86% identity in aa 28 - 408), ",3415217,3416362,1145,1,14.49781659388646,14.49781659388646,14.49781659388646,14.49781659388646
10020,gene,"gene (yrbE), locus_tag (STM3312), db_xref (GeneID:1254835), ",3478163,3478963,800,1,16.125,16.125,16.125,16.125
10021,CDS,"product (ABC transporter permease), transl_table (11), protein_id (ref|NP_462222.1|), note (membr; similar to E. coli orf, hypothetical protein (AAC76226.1); Blastp hit to AAC76226.1 (260 aa), 96% identity in aa 1 - 260), ",3478163,3478945,782,1,16.49616368286445,16.49616368286445,16.49616368286445,16.49616368286445
10073,gene,"gene (yhcC), locus_tag (STM3329), db_xref (GeneID:1254852), ",3492929,3493876,947,1,15.52270327349525,15.52270327349525,15.52270327349525,15.52270327349525
10074,CDS,"product (TIGR01212 family radical SAM protein), transl_table (11), protein_id (ref|NP_462239.1|), note (similar to E. coli orf, hypothetical protein (AAC76243.1); Blastp hit to AAC76243.1 (309 aa), 94% identity in aa 1 - 307), ",3492929,3493858,929,1,15.82346609257266,15.82346609257266,15.82346609257266,15.82346609257266
10106,CDS,"product (MFS transporter), transl_table (11), protein_id (ref|NP_462248.1|), note (similar to E. coli sialic acid transporter (AAC76256.1); Blastp hit to AAC76256.1 (506 aa), 94% identity in aa 11 - 506), ",3506520,3508010,1490,2,11.40939597315436,11.04026845637584,11.40939597315436,11.40939597315436
10140,gene,"gene (oadB), locus_tag (STM3351), db_xref (GeneID:1254874), ",3518739,3520046,1307,1,19.05126243305279,19.05126243305279,19.05126243305279,19.05126243305279
10141,CDS,"product (oxaloacetate decarboxylase subunit beta), EC_number (4.1.1.3), transl_table (11), protein_id (ref|NP_462261.1|), note (putative sodium ion pump; oxaloacetate decarboxylase beta chain. (SW:DCOB_SALTY)), ",3518739,3520040,1301,1,19.1391237509608,19.1391237509608,19.1391237509608,19.1391237509608
10594,gene,"gene (yhgE), locus_tag (STM3499), db_xref (GeneID:1255022), ",3654485,3656206,1721,1,8.19291109819872,8.19291109819872,8.192911098198723,8.192911098198723
10595,CDS,"product (DUF4153 domain-containing protein), transl_table (11), protein_id (ref|NP_462402.1|), note (similar to E. coli putative transport (AAC76427.1); Blastp hit to AAC76427.1 (574 aa), 56% identity in aa 1 - 574), ",3654485,3656194,1709,1,8.250438853130486,8.250438853130486,8.250438853130486,8.250438853130486
10733,gene,"gene (gntU), locus_tag (STM3541), db_xref (GeneID:1255064), ",3710170,3711523,1353,1,11.4560236511456,11.4560236511456,11.4560236511456,11.4560236511456
10734,CDS,"product (gluconate transporter), transl_table (11), protein_id (ref|NP_462442.1|), note (similar to E. coli low-affinity gluconate transport permease protein, interrupted (AAC76461.1); Blastp hit to AAC76461.1 (332 aa), 96% identity in aa 1 - 331), ",3710170,3711510,1340,1,11.56716417910448,11.56716417910448,11.56716417910448,11.56716417910448
10866,CDS,"product (putative MFS family transport protein), transl_table (11), protein_id (ref|NP_462482.3|), note (similar to E. coli putative transport (AAC76498.1); Blastp hit to AAC76498.1 (419 aa), 89% identity in aa 1 - 419), ",3748235,3749494,1259,1,14.29706115965052,14.29706115965052,14.29706115965052,14.29706115965052
11179,gene,"gene (selA), locus_tag (STM3683), db_xref (GeneID:1255207), ",3872705,3874107,1402,1,14.69329529243937,14.69329529243937,14.69329529243937,14.69329529243937
11180,CDS,"product (L-seryl-tRNA(Sec) selenium transferase), EC_number (2.9.1.1), transl_table (11), protein_id (ref|NP_462583.1|), note (combine with SelD; similar to E. coli selenocysteine synthase: L-seryl-tRNA (Ser) selenium transferase (AAC76615.1); Blastp hit to AAC76615.1 (463 aa), 86% identity in aa 1 - 463), ",3872705,3874096,1391,1,14.80948957584472,14.80948957584472,14.80948957584472,14.80948957584472
11584,gene,"gene (ccmG), locus_tag (STM3813), db_xref (GeneID:1255340), ",4013373,4013941,568,1,30.28169014084507,30.28169014084507,30.28169014084507,30.28169014084507
11585,CDS,"product (thiol:disulfide interchange protein), transl_table (11), protein_id (ref|NP_462713.1|), note (cytochrome c-type biogenesis; similar to E. coli disulfide oxidoreductase (in biogenesis of cytochrome c? (AAC75255.1); Blastp hit to AAC75255.1 (185 aa), 87% identity in aa 1 - 185), ",4013373,4013930,557,1,30.87971274685817,30.87971274685817,30.87971274685817,30.87971274685817
11587,gene,"gene (ccmF), locus_tag (STM3814), db_xref (GeneID:1255341), ",4013927,4015872,1945,2,47.96915167095116,13.08483290488432,47.96915167095116,47.96915167095116
11588,CDS,"product (c-type cytochrome biogenesis protein CcmF), transl_table (11), protein_id (ref|NP_462714.1|), note (similar to E. coli cytochrome c-type biogenesis protein (AAC75256.1); Blastp hit to AAC75256.1 (647 aa), 85% identity in aa 1 - 646), ",4013927,4015858,1931,2,48.31693423096841,13.17969963749353,48.31693423096841,48.31693423096841
11596,gene,"gene (ccmC), locus_tag (STM3817), db_xref (GeneID:1255344), ",4016540,4017297,757,1,52.84015852047557,52.84015852047557,52.84015852047556,52.84015852047556
11597,CDS,"product (heme ABC transporter permease), transl_table (11), protein_id (ref|NP_462717.1|), note (cytochrome c-type biogenesis protein; similar to E. coli heme exporter protein C (AAC75259.1); Blastp hit to AAC75259.1 (245 aa), 86% identity in aa 1 - 245), ",4016540,4017277,737,1,54.27408412483039,54.27408412483039,54.2740841248304,54.2740841248304
11742,gene,"locus_tag (STM3863), db_xref (GeneID:1255390), ",4072756,4073460,704,1,17.04545454545454,17.04545454545454,17.04545454545455,17.04545454545455
11743,CDS,"product (putative permease), transl_table (11), protein_id (ref|NP_462762.1|), ",4072756,4073454,698,1,17.19197707736389,17.19197707736389,17.1919770773639,17.1919770773639
12175,gene,"gene (glnA), locus_tag (STM4007), db_xref (GeneID:1255533), ",4215612,4217110,1498,1,14.21895861148198,14.21895861148198,14.21895861148198,14.21895861148198
12176,CDS,"product (type I glutamate--ammonia ligase), EC_number (6.3.1.2), transl_table (11), protein_id (ref|NP_462887.1|), note (glutamine synthetase. (SW:GLNA_SALTY)), ",4215612,4217021,1409,1,15.11710432931157,15.11710432931157,15.11710432931157,15.11710432931157
12273,gene,"gene (fdhD), locus_tag (STM4038), db_xref (GeneID:1255564), ",4248002,4248852,850,1,20.8235294117647,20.8235294117647,20.82352941176471,20.82352941176471
12275,CDS,"product (sulfurtransferase FdhD), transl_table (11), protein_id (ref|NP_462918.1|), note (similar to E. coli affects formate dehydrogenase-N (AAC76877.1); Blastp hit to AAC76877.1 (277 aa), 85% identity in aa 7 - 275), ",4248016,4248852,836,1,21.17224880382775,21.17224880382775,21.17224880382775,21.17224880382775
12530,gene,"gene (frwC), locus_tag (STM4112), db_xref (GeneID:1255639), ",4327301,4328393,1092,1,23.07692307692308,23.07692307692308,23.07692307692308,23.07692307692308
12532,CDS,"product (PTS fructose-specific transporter subunit EIIC), transl_table (11), protein_id (ref|NP_462992.1|), note (similar to E. coli PTS system, fructose-like enzyme II component (AAC76931.1); Blastp hit to AAC76931.1 (359 aa), 93% identity in aa 1 - 359), ",4327314,4328393,1079,1,23.35495829471733,23.35495829471733,23.35495829471733,23.35495829471733
12794,gene,"locus_tag (STM4200), db_xref (GeneID:1255726), ",4420457,4422209,1752,2,9.075342465753424,9.075342465753424,9.075342465753424,9.075342465753424
12795,CDS,"product (phage tail protein), transl_table (11), protein_id (ref|NP_463065.1|), note (similar to E. coli putative membrane protein (AAC74454.1); Blastp hit to AAC74454.1 (1122 aa), 31% identity in aa 312 - 498, 33% identity in aa 426 - 547, 22% identity in aa 233 - 444, 30% identity in aa 132 - 266, 23-1073758628dentity in aa 170 - 398, 21% identity in aa 178 - 417, 24-1073758654dentity in aa 111 - 354, 23% identity in aa 950 - 1104, 20% identity in aa 1015 - 1106), ",4420457,4422202,1745,2,9.111747851002866,9.111747851002866,9.111747851002866,9.111747851002866
12947,gene,"gene (alr), locus_tag (STM4247), db_xref (GeneID:1255773), ",4468043,4469133,1090,1,23.11926605504587,23.11926605504587,23.11926605504587,23.11926605504587
12949,CDS,"product (alanine racemase), EC_number (5.1.1.1), transl_table (11), protein_id (ref|NP_463112.1|), note (alanine racemase, biosynthetic. (SW:ALR1_SALTY)), ",4468054,4469133,1079,1,23.35495829471733,23.35495829471733,23.35495829471733,23.35495829471733
13066,gene,"gene (nrfE), locus_tag (STM4281), db_xref (GeneID:1255807), ",4519832,4522070,2238,1,5.987488829311886,5.987488829311886,5.987488829311886,5.987488829311886
13068,CDS,"product (nitrite reductase), transl_table (11), protein_id (ref|NP_463146.1|), note (involved in attachment of haem c to cytochrome c552; similar to E. coli formate-dependent nitrite reductase; possible assembly function (AAD13457.1); Blastp hit to AAD13457.1 (552 aa), 76% identity in aa 1 - 552), ",4519848,4522070,2222,1,6.030603060306031,6.030603060306031,6.030603060306031,6.030603060306031
13191,gene,"locus_tag (STM4318), db_xref (GeneID:1255844), ",4562858,4563357,499,1,40.28056112224449,40.28056112224449,40.28056112224449,40.28056112224449
13193,CDS,"product (GNAT family N-acetyltransferase), transl_table (11), protein_id (ref|NP_463183.1|), ",4562866,4563357,491,1,40.93686354378818,40.93686354378818,40.93686354378818,40.93686354378818
13491,gene,"gene (mpl), locus_tag (STM4416), db_xref (GeneID:1255942), ",4656672,4658065,1393,1,24.62311557788945,24.62311557788945,24.62311557788945,24.62311557788945
13493,CDS,"product (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase), EC_number (6.3.2.-), transl_table (11), protein_id (ref|NP_463277.1|), note (similar to E. coli putative ligase (AAC77190.1); Blastp hit to AAC77190.1 (457 aa), 96% identity in aa 1 - 454), ",4656686,4658065,1379,1,24.87309644670051,24.87309644670051,24.87309644670051,24.87309644670051
