,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
246,CDS,"product (short-chain dehydrogenase), transl_table (11), protein_id (ref|NP_248807.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",137248,137976,728,1,21.84065934065934,21.84065934065934,21.84065934065934,21.84065934065934
248,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248808.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",138001,138588,587,2,96.59284497444634,31.51618398637138,96.59284497444634,96.59284497444634
250,CDS,"product (C4-dicarboxylate transporter DctA), transl_table (11), protein_id (ref|NP_248809.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",138818,140167,1349,1,12.52779836916234,12.52779836916234,12.52779836916234,12.52779836916234
296,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248831.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",160552,161448,896,1,19.08482142857143,19.08482142857143,19.08482142857143,19.08482142857143
310,CDS,"product (oxidoreductase), transl_table (11), protein_id (ref|NP_248837.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",167146,168108,962,1,16.42411642411642,16.42411642411642,16.42411642411642,16.42411642411642
316,CDS,"product (transmembrane sensor), transl_table (11), protein_id (ref|NP_248840.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",169903,170898,995,1,28.44221105527638,28.44221105527638,28.44221105527638,28.44221105527638
318,CDS,"product (TonB-dependent receptor), transl_table (11), protein_id (ref|NP_248841.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",171047,173434,2387,2,23.41851696690406,18.49602010892333,23.41851696690406,23.41851696690406
322,CDS,"product (protocatechuate 3,4-dioxygenase subunit beta), transl_table (11), protein_id (ref|NP_248843.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",174773,175492,719,2,79.55493741307372,67.80250347705146,79.55493741307372,79.55493741307372
326,CDS,"product (transcriptional regulator PcaR), transl_table (11), protein_id (ref|NP_248845.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",176315,177154,839,1,72.34803337306317,72.34803337306317,72.34803337306317,72.34803337306317
334,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248849.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",182768,183706,938,1,17.27078891257996,17.27078891257996,17.27078891257996,17.27078891257996
352,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248859.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",192965,193672,707,1,37.34087694483734,37.34087694483734,37.34087694483734,37.34087694483734
356,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248861.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",194206,194748,542,1,43.17343173431734,43.17343173431734,43.17343173431734,43.17343173431734
362,CDS,"product (chemotaxis response regulator protein-glutamate methylesterase), EC_number (3.1.1.61), transl_table (11), protein_id (ref|NP_248863.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",197011,198060,1049,2,65.5862726406101,38.0838894184938,65.5862726406101,65.5862726406101
372,CDS,"product (two-component sensor), transl_table (11), protein_id (ref|NP_248868.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",202147,204066,1919,1,7.503908285565399,7.503908285565399,7.503908285565399,7.503908285565399
380,CDS,"product (3-ketoacyl-ACP reductase), EC_number (1.1.1.100), transl_table (11), protein_id (ref|NP_248872.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",207071,207823,752,2,15.69148936170213,15.69148936170213,15.69148936170213,15.69148936170213
384,CDS,"product (ABC transporter ATP-binding protein), transl_table (11), protein_id (ref|NP_248874.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",209621,210460,839,2,23.12276519666269,23.12276519666269,56.7342073897497,56.7342073897497
394,CDS,"product (porin), transl_table (11), protein_id (ref|NP_248879.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",215550,216908,1358,1,57.87923416789397,57.87923416789397,57.87923416789396,57.87923416789396
396,CDS,"product (acid phosphatase), transl_table (11), protein_id (ref|NP_248880.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",217156,217881,725,1,55.03448275862068,55.03448275862068,55.03448275862069,55.03448275862069
402,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248883.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",221585,222487,902,1,19.6230598669623,19.6230598669623,19.62305986696231,19.62305986696231
413,CDS,"product (transporter TonB), transl_table (11), protein_id (ref|NP_248888.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa), ",227382,228194,812,2,61.94581280788177,44.88916256157636,61.94581280788177,61.94581280788177
425,CDS,"product (ABC transporter), transl_table (11), protein_id (ref|NP_248894.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",232066,233100,1034,1,26.11218568665377,26.11218568665377,26.11218568665377,26.11218568665377
435,CDS,"product (malonate decarboxylase subunit alpha), transl_table (11), protein_id (ref|NP_248899.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",237232,238896,1664,1,7.451923076923077,7.451923076923077,7.451923076923077,7.451923076923077
441,CDS,"product (malonate decarboxylase acyl carrier protein), transl_table (11), protein_id (ref|NP_248901.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",239779,240078,299,1,71.23745819397993,71.23745819397993,71.23745819397993,71.23745819397993
445,CDS,"product (malonate decarboxylase subunit gamma), transl_table (11), protein_id (ref|NP_248903.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",240931,241737,806,1,31.5136476426799,31.5136476426799,31.5136476426799,31.5136476426799
449,CDS,"product (acyl transferase), transl_table (11), protein_id (ref|NP_248905.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",242442,243374,932,2,46.99570815450644,34.92489270386266,46.99570815450644,46.99570815450644
457,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248909.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",245948,246868,920,2,36.73913043478261,24.56521739130435,36.73913043478261,36.73913043478261
475,CDS,"product (CoA transferase subunit B), transl_table (11), protein_id (ref|NP_248918.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",256329,257111,782,1,24.42455242966752,24.42455242966752,24.42455242966752,24.42455242966752
479,CDS,"product (dicarboxylic acid transporter PcaT), transl_table (11), protein_id (ref|NP_248920.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",258463,259761,1298,1,9.70724191063174,9.70724191063174,9.70724191063174,9.70724191063174
481,CDS,"product (3-carboxy-cis,cis-muconate cycloisomerase), EC_number (5.5.1.2), transl_table (11), protein_id (ref|NP_248921.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",259784,261163,1379,1,20.88469905728789,20.88469905728789,20.88469905728789,20.88469905728789
491,CDS,"product (4-hydroxybenzoate transporter PcaK), transl_table (11), protein_id (ref|NP_248926.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",264964,266310,1346,1,14.48736998514116,14.48736998514116,14.48736998514116,14.48736998514116
493,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248927.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",266616,267395,779,2,38.89602053915276,25.1604621309371,38.89602053915276,38.89602053915276
505,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248933.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",273775,275679,1904,1,14.86344537815126,14.86344537815126,14.86344537815126,14.86344537815126
526,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248943.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",283818,284105,287,2,100.0,99.30313588850174,100.0,100.0
531,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248945.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",284714,286204,1490,1,27.51677852348993,27.51677852348993,27.51677852348993,27.51677852348993
533,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248946.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",286338,287024,686,1,28.71720116618076,28.71720116618076,28.71720116618076,28.71720116618076
543,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248951.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",291154,293304,2150,1,6.744186046511628,6.744186046511628,6.744186046511628,6.744186046511628
549,CDS,"product (secreted protein Hcp), transl_table (11), protein_id (ref|NP_248954.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",297043,297561,518,1,52.5096525096525,52.5096525096525,52.50965250965251,52.50965250965251
554,CDS,"product (glutarate-semialdehyde dehydrogenase DavD), EC_number (1.2.1.16), transl_table (11), protein_id (ref|NP_248956.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",299522,300973,1451,2,17.09166092350103,13.5079255685734,17.09166092350103,17.09166092350103
572,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248965.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",309255,310025,770,1,28.31168831168831,28.31168831168831,28.31168831168831,28.31168831168831
578,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248968.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",311451,312209,758,2,50.0,45.71240105540898,50.0,50.0
580,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248969.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",312381,313133,752,1,34.70744680851064,34.70744680851064,34.70744680851064,34.70744680851064
582,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248970.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",313227,313925,698,1,100.0,100.0,100.0,100.0
584,CDS,"product (sulfate.thiosulfate ABC transporter ATP-binding protein CysA), transl_table (11), protein_id (ref|NP_248971.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",313938,314927,989,1,31.34479271991911,31.34479271991911,31.34479271991911,31.34479271991911
594,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248976.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",318312,320594,2282,1,10.47326906222612,10.47326906222612,10.47326906222612,10.47326906222612
600,CDS,"product (guanidinopropionase), transl_table (11), protein_id (ref|NP_248979.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",323616,324572,956,1,22.80334728033473,22.80334728033473,22.80334728033473,22.80334728033473
610,CDS,"product (N-carbamoylputrescine amidohydrolase), transl_table (11), protein_id (ref|NP_248984.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",329993,330871,878,1,26.99316628701595,26.99316628701595,26.99316628701595,26.99316628701595
614,CDS,"product (polyamine binding protein), transl_table (11), protein_id (ref|NP_248986.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",331762,332823,1061,2,37.51178133836004,37.51178133836004,100.0,100.0
616,CDS,"product (glutamine synthetase), transl_table (11), protein_id (ref|NP_248987.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",333079,334455,1376,1,13.66279069767442,13.66279069767442,13.66279069767442,13.66279069767442
636,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248996.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",344303,346690,2387,1,13.53162966066192,13.53162966066192,13.53162966066192,13.53162966066192
638,CDS,"product (transcriptional regulator), transl_table (11), protein_id (ref|NP_248997.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",346801,347853,1052,1,9.220532319391635,9.220532319391635,9.220532319391635,9.220532319391635
642,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_248998.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",348440,349051,611,1,45.17184942716857,45.17184942716857,45.17184942716857,45.17184942716857
691,CDS,"product (threonine dehydratase), EC_number (4.3.1.19), transl_table (11), protein_id (ref|NP_249022.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",372091,373605,1514,2,6.142668428005284,6.142668428005284,6.142668428005284,6.142668428005284
695,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249024.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",374243,375514,1271,1,14.71282454760031,14.71282454760031,14.71282454760031,14.71282454760031
697,CDS,"product (major facilitator superfamily transporter), transl_table (11), protein_id (ref|NP_249025.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",375951,377189,1238,1,51.29240710823909,51.29240710823909,51.2924071082391,51.2924071082391
699,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249026.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",377239,377892,653,2,13.01684532924962,13.01684532924962,13.01684532924962,13.01684532924962
703,CDS,"product (phosphoenolpyruvate-protein phosphotransferase PtsP), transl_table (11), protein_id (ref|NP_249028.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",378598,380877,2279,2,6.186924089512944,5.87977182974989,6.186924089512944,6.186924089512944
718,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249034.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",385554,386351,797,1,18.19322459222083,18.19322459222083,18.19322459222083,18.19322459222083
722,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249036.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",387758,389143,1385,1,55.1624548736462,55.1624548736462,55.16245487364621,55.16245487364621
740,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249045.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",398224,399420,1196,2,29.51505016722408,25.37625418060201,29.51505016722408,29.51505016722408
770,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249059.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",412329,413327,998,1,21.14228456913828,21.14228456913828,21.14228456913828,21.14228456913828
773,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249061.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",413933,414529,596,1,49.16107382550335,49.16107382550335,49.16107382550336,49.16107382550336
777,CDS,"product (zinc protease), transl_table (11), protein_id (ref|NP_249063.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",416009,417406,1397,1,8.375089477451683,8.375089477451683,8.375089477451683,8.375089477451683
779,CDS,"product (signal recognition particle receptor FtsY), transl_table (11), protein_id (ref|NP_249064.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",417527,418894,1367,4,24.6525237746891,20.59253840526701,24.6525237746891,24.6525237746891
781,CDS,"product (cell division protein FtsE), transl_table (11), protein_id (ref|NP_249065.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",418891,419562,671,1,40.08941877794337,40.08941877794337,40.08941877794337,40.08941877794337
805,CDS,"product (coproporphyrinogen III oxidase), transl_table (11), protein_id (ref|NP_249077.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",427586,428740,1154,1,50.08665511265165,50.08665511265165,50.08665511265165,50.08665511265165
807,CDS,"product (non-canonical purine NTP pyrophosphatase), transl_table (11), protein_id (ref|NP_249078.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",428861,429454,593,4,78.24620573355818,61.25632377740303,78.24620573355818,78.24620573355818
821,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249085.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",435663,436355,692,1,51.58959537572254,51.58959537572254,51.58959537572255,51.58959537572255
831,CDS,"product (cystathionine beta-synthase), transl_table (11), protein_id (ref|NP_249090.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",440638,442011,1373,2,15.7319737800437,13.5469774217043,15.7319737800437,15.7319737800437
833,CDS,"product (cystathionine gamma-lyase), transl_table (11), protein_id (ref|NP_249091.1|), note ('Product name confidence: class 3 (Function proposed based on presence of conserved amino acid motif, structural feature or limited sequence similarity to an experimentally studied gene)'), ",442008,443192,1184,1,69.51013513513513,69.51013513513513,69.51013513513513,69.51013513513513
835,CDS,"product (dihydroorotase), EC_number (3.5.2.3), transl_table (11), protein_id (ref|NP_249092.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",443419,444690,1271,3,77.81274586939418,41.14870180959874,77.81274586939418,77.81274586939418
859,CDS,"product (chemotactic signal transduction system protein), transl_table (11), protein_id (ref|NP_249104.1|), note (Product name confidence: class 1: Function experimentally demonstrated in P. aeruginosa.), ",454126,461544,7418,1,2.601779455378808,2.601779455378808,2.601779455378809,2.601779455378809
869,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249109.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",464568,465983,1415,2,69.89399293286219,41.97879858657244,69.89399293286219,69.89399293286219
873,CDS,"product (adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA), EC_number (2.6.1.62), transl_table (11), protein_id (ref|NP_249111.1|), note (Product name confidence: class 2 (High similarity to functionally studied protein)), ",466833,468236,1403,1,13.32858161083393,13.32858161083393,13.32858161083393,13.32858161083393
881,CDS,"product (multidrug resistance operon repressor MexR), transl_table (11), protein_id (ref|NP_249115.1|), note (Product name confidence: class 1 (Function experimentally demonstrated in P. aeruginosa)), ",471306,471749,443,1,31.15124153498871,31.15124153498871,31.15124153498871,31.15124153498871
891,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_249120.1|), note ('Product name confidence: class 4 (Homologs of previously reported genes of unknown function, or no similarity to any previously reported sequences)'), ",480056,481126,1070,2,7.289719626168225,7.289719626168225,7.289719626168225,7.289719626168225
